REACTANT_1,REACTANT_2,PRODUCT_1,CATALYST,ACTIVITY
C(C=1C=CC(=CC=1)C=NC(C2=CC=CC=C2)=O)(F)(F)F,C1(S[H])CCCCC1,C(C1=CC=C(C(NC(C2=CC=CC=C2)=O)SC3CCCCC3)C=C1)(F)(F)F,CC(C)(C)c1ccc([Si](c2ccc(C(C)(C)C)cc2)(c2ccc(C(C)(C)C)cc2)c2cc3c(c4c2OP(=O)(O)Oc2c([Si](c5ccc(C(C)(C)C)cc5)(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc5c(c2-4)CCCC5)CCCC3)cc1,0.02
C(C=1C=CC(=CC=1)C=NC(C2=CC=CC=C2)=O)(F)(F)F,C(S[H])C,C(C=1C=CC(C(SCC)NC(C2=CC=CC=C2)=O)=CC=1)(F)(F)F,CC(C)(C)c1ccc([Si](c2ccc(C(C)(C)C)cc2)(c2ccc(C(C)(C)C)cc2)c2cc3c(c4c2OP(=O)(O)Oc2c([Si](c5ccc(C(C)(C)C)cc5)(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc5c(c2-4)CCCC5)CCCC3)cc1,0.05
C(C=1C=CC(=CC=1)C=NC(C2=CC=CC=C2)=O)(F)(F)F,C1(=CC=C(C=C1)S[H])OC,C(C1=CC=C(C(NC(C2=CC=CC=C2)=O)SC3=CC=C(C=C3)OC)C=C1)(F)(F)F,CC(C)(C)c1ccc([Si](c2ccc(C(C)(C)C)cc2)(c2ccc(C(C)(C)C)cc2)c2cc3c(c4c2OP(=O)(O)Oc2c([Si](c5ccc(C(C)(C)C)cc5)(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc5c(c2-4)CCCC5)CCCC3)cc1,0.0
C1(=CC=C(C=C1)C=NC(C2=CC=CC=C2)=O)OC,C=1(S[H])C=CC=CC=1,C=1(C(SC2=CC=CC=C2)NC(C3=CC=CC=C3)=O)C=CC(=CC=1)OC,CC(C)(C)c1ccc([Si](c2ccc(C(C)(C)C)cc2)(c2ccc(C(C)(C)C)cc2)c2cc3c(c4c2OP(=O)(O)Oc2c([Si](c5ccc(C(C)(C)C)cc5)(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc5c(c2-4)CCCC5)CCCC3)cc1,-0.05
C1(=CC=C(C=C1)C=NC(C2=CC=CC=C2)=O)OC,C1(S[H])CCCCC1,C1(=CC=C(C(NC(C2=CC=CC=C2)=O)SC3CCCCC3)C=C1)OC,CC(C)(C)c1ccc([Si](c2ccc(C(C)(C)C)cc2)(c2ccc(C(C)(C)C)cc2)c2cc3c(c4c2OP(=O)(O)Oc2c([Si](c5ccc(C(C)(C)C)cc5)(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc5c(c2-4)CCCC5)CCCC3)cc1,0.14
C1(=CC=C(C=C1)C=NC(C2=CC=CC=C2)=O)OC,C(S[H])C,C(C1=CC=CC=C1)(NC(C2=CC=C(OC)C=C2)SCC)=O,CC(C)(C)c1ccc([Si](c2ccc(C(C)(C)C)cc2)(c2ccc(C(C)(C)C)cc2)c2cc3c(c4c2OP(=O)(O)Oc2c([Si](c5ccc(C(C)(C)C)cc5)(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc5c(c2-4)CCCC5)CCCC3)cc1,-0.05
C1(=CC=C(C=C1)C=NC(C2=CC=CC=C2)=O)OC,C1(=CC=C(C=C1)S[H])OC,C1(=CC=C(C(SC2=CC=C(C=C2)OC)NC(C3=CC=CC=C3)=O)C=C1)OC,CC(C)(C)c1ccc([Si](c2ccc(C(C)(C)C)cc2)(c2ccc(C(C)(C)C)cc2)c2cc3c(c4c2OP(=O)(O)Oc2c([Si](c5ccc(C(C)(C)C)cc5)(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc5c(c2-4)CCCC5)CCCC3)cc1,0.19
C(C=1C=CC=CC=1)(N=CC=2C3=C(C=CC=2)C=CC=C3)=O,C=1(S[H])C=CC=CC=1,C12=C(C(C(NC(C3=CC=CC=C3)=O)SC4=CC=CC=C4)=CC=C1)C=CC=C2,CC(C)(C)c1ccc([Si](c2ccc(C(C)(C)C)cc2)(c2ccc(C(C)(C)C)cc2)c2cc3c(c4c2OP(=O)(O)Oc2c([Si](c5ccc(C(C)(C)C)cc5)(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc5c(c2-4)CCCC5)CCCC3)cc1,0.12
C(C=1C=CC=CC=1)(N=CC=2C3=C(C=CC=2)C=CC=C3)=O,C1(S[H])CCCCC1,C=1(C(NC(C2=CC=CC=C2)=O)SC3CCCCC3)C4=C(C=CC=1)C=CC=C4,CC(C)(C)c1ccc([Si](c2ccc(C(C)(C)C)cc2)(c2ccc(C(C)(C)C)cc2)c2cc3c(c4c2OP(=O)(O)Oc2c([Si](c5ccc(C(C)(C)C)cc5)(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc5c(c2-4)CCCC5)CCCC3)cc1,-0.07
C(C=1C=CC=CC=1)(N=CC=2C3=C(C=CC=2)C=CC=C3)=O,C(S[H])C,C12=C(C(C(NC(C3=CC=CC=C3)=O)SCC)=CC=C1)C=CC=C2,CC(C)(C)c1ccc([Si](c2ccc(C(C)(C)C)cc2)(c2ccc(C(C)(C)C)cc2)c2cc3c(c4c2OP(=O)(O)Oc2c([Si](c5ccc(C(C)(C)C)cc5)(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc5c(c2-4)CCCC5)CCCC3)cc1,-0.02
C(C=1C=CC=CC=1)(N=CC=2C3=C(C=CC=2)C=CC=C3)=O,C1(=CC=C(C=C1)S[H])OC,C12=C(C(C(NC(C3=CC=CC=C3)=O)SC4=CC=C(OC)C=C4)=CC=C1)C=CC=C2,CC(C)(C)c1ccc([Si](c2ccc(C(C)(C)C)cc2)(c2ccc(C(C)(C)C)cc2)c2cc3c(c4c2OP(=O)(O)Oc2c([Si](c5ccc(C(C)(C)C)cc5)(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc5c(c2-4)CCCC5)CCCC3)cc1,0.0
C=1(C=CC=CC=1)C=NC(C=2C=CC=CC=2)=O,C=1(S[H])C=CC=CC=1,C1(C(NC(C=2C=CC=CC=2)SC=3C=CC=CC=3)=O)=CC=CC=C1,O=P1(O)Oc2c(-c3ccc(C4CCCCC4)cc3)cc3c(c2-c2c4c(cc(-c5ccc(C6CCCCC6)cc5)c2O1)CCCC4)CCCC3,1.13
C=1(C=CC=CC=1)C=NC(C=2C=CC=CC=2)=O,C1(S[H])CCCCC1,C1(C(SC2CCCCC2)NC(C3=CC=CC=C3)=O)=CC=CC=C1,O=P1(O)Oc2c(-c3ccc(C4CCCCC4)cc3)cc3c(c2-c2c4c(cc(-c5ccc(C6CCCCC6)cc5)c2O1)CCCC4)CCCC3,0.65
C=1(C=CC=CC=1)C=NC(C=2C=CC=CC=2)=O,C(S[H])C,C1(C(NC(C2=CC=CC=C2)SCC)=O)=CC=CC=C1,O=P1(O)Oc2c(-c3ccc(C4CCCCC4)cc3)cc3c(c2-c2c4c(cc(-c5ccc(C6CCCCC6)cc5)c2O1)CCCC4)CCCC3,0.68
C=1(C=CC=CC=1)C=NC(C=2C=CC=CC=2)=O,C1(=CC=C(C=C1)S[H])OC,C1(C(NC(C=2C=CC=CC=2)SC=3C=CC(OC)=CC=3)=O)=CC=CC=C1,O=P1(O)Oc2c(-c3ccc(C4CCCCC4)cc3)cc3c(c2-c2c4c(cc(-c5ccc(C6CCCCC6)cc5)c2O1)CCCC4)CCCC3,1.24
C(C=1C=CC(=CC=1)C=NC(C2=CC=CC=C2)=O)(F)(F)F,C=1(S[H])C=CC=CC=1,C(C=1C=CC(C(SC2=CC=CC=C2)NC(C3=CC=CC=C3)=O)=CC=1)(F)(F)F,O=P1(O)Oc2c(-c3ccc(C4CCCCC4)cc3)cc3c(c2-c2c4c(cc(-c5ccc(C6CCCCC6)cc5)c2O1)CCCC4)CCCC3,1.08
C(C=1C=CC(=CC=1)C=NC(C2=CC=CC=C2)=O)(F)(F)F,C1(S[H])CCCCC1,C(C1=CC=C(C(NC(C2=CC=CC=C2)=O)SC3CCCCC3)C=C1)(F)(F)F,O=P1(O)Oc2c(-c3ccc(C4CCCCC4)cc3)cc3c(c2-c2c4c(cc(-c5ccc(C6CCCCC6)cc5)c2O1)CCCC4)CCCC3,0.53
C(C=1C=CC(=CC=1)C=NC(C2=CC=CC=C2)=O)(F)(F)F,C(S[H])C,C(C=1C=CC(C(SCC)NC(C2=CC=CC=C2)=O)=CC=1)(F)(F)F,O=P1(O)Oc2c(-c3ccc(C4CCCCC4)cc3)cc3c(c2-c2c4c(cc(-c5ccc(C6CCCCC6)cc5)c2O1)CCCC4)CCCC3,0.65
C(C=1C=CC(=CC=1)C=NC(C2=CC=CC=C2)=O)(F)(F)F,C1(=CC=C(C=C1)S[H])OC,C(C1=CC=C(C(NC(C2=CC=CC=C2)=O)SC3=CC=C(C=C3)OC)C=C1)(F)(F)F,O=P1(O)Oc2c(-c3ccc(C4CCCCC4)cc3)cc3c(c2-c2c4c(cc(-c5ccc(C6CCCCC6)cc5)c2O1)CCCC4)CCCC3,1.13
C1(=CC=C(C=C1)C=NC(C2=CC=CC=C2)=O)OC,C=1(S[H])C=CC=CC=1,C=1(C(SC2=CC=CC=C2)NC(C3=CC=CC=C3)=O)C=CC(=CC=1)OC,O=P1(O)Oc2c(-c3ccc(C4CCCCC4)cc3)cc3c(c2-c2c4c(cc(-c5ccc(C6CCCCC6)cc5)c2O1)CCCC4)CCCC3,1.18
C1(=CC=C(C=C1)C=NC(C2=CC=CC=C2)=O)OC,C1(S[H])CCCCC1,C1(=CC=C(C(NC(C2=CC=CC=C2)=O)SC3CCCCC3)C=C1)OC,O=P1(O)Oc2c(-c3ccc(C4CCCCC4)cc3)cc3c(c2-c2c4c(cc(-c5ccc(C6CCCCC6)cc5)c2O1)CCCC4)CCCC3,0.56
C1(=CC=C(C=C1)C=NC(C2=CC=CC=C2)=O)OC,C(S[H])C,C(C1=CC=CC=C1)(NC(C2=CC=C(OC)C=C2)SCC)=O,O=P1(O)Oc2c(-c3ccc(C4CCCCC4)cc3)cc3c(c2-c2c4c(cc(-c5ccc(C6CCCCC6)cc5)c2O1)CCCC4)CCCC3,0.65
C1(=CC=C(C=C1)C=NC(C2=CC=CC=C2)=O)OC,C1(=CC=C(C=C1)S[H])OC,C1(=CC=C(C(SC2=CC=C(C=C2)OC)NC(C3=CC=CC=C3)=O)C=C1)OC,O=P1(O)Oc2c(-c3ccc(C4CCCCC4)cc3)cc3c(c2-c2c4c(cc(-c5ccc(C6CCCCC6)cc5)c2O1)CCCC4)CCCC3,1.3
C(C=1C=CC=CC=1)(N=CC=2C3=C(C=CC=2)C=CC=C3)=O,C=1(S[H])C=CC=CC=1,C12=C(C(C(NC(C3=CC=CC=C3)=O)SC4=CC=CC=C4)=CC=C1)C=CC=C2,O=P1(O)Oc2c(-c3ccc(C4CCCCC4)cc3)cc3c(c2-c2c4c(cc(-c5ccc(C6CCCCC6)cc5)c2O1)CCCC4)CCCC3,1.24
C(C=1C=CC=CC=1)(N=CC=2C3=C(C=CC=2)C=CC=C3)=O,C1(S[H])CCCCC1,C=1(C(NC(C2=CC=CC=C2)=O)SC3CCCCC3)C4=C(C=CC=1)C=CC=C4,O=P1(O)Oc2c(-c3ccc(C4CCCCC4)cc3)cc3c(c2-c2c4c(cc(-c5ccc(C6CCCCC6)cc5)c2O1)CCCC4)CCCC3,0.53
C(C=1C=CC=CC=1)(N=CC=2C3=C(C=CC=2)C=CC=C3)=O,C(S[H])C,C12=C(C(C(NC(C3=CC=CC=C3)=O)SCC)=CC=C1)C=CC=C2,O=P1(O)Oc2c(-c3ccc(C4CCCCC4)cc3)cc3c(c2-c2c4c(cc(-c5ccc(C6CCCCC6)cc5)c2O1)CCCC4)CCCC3,0.62
C(C=1C=CC=CC=1)(N=CC=2C3=C(C=CC=2)C=CC=C3)=O,C1(=CC=C(C=C1)S[H])OC,C12=C(C(C(NC(C3=CC=CC=C3)=O)SC4=CC=C(OC)C=C4)=CC=C1)C=CC=C2,O=P1(O)Oc2c(-c3ccc(C4CCCCC4)cc3)cc3c(c2-c2c4c(cc(-c5ccc(C6CCCCC6)cc5)c2O1)CCCC4)CCCC3,1.37
C=1(C=CC=CC=1)C=NC(C=2C=CC=CC=2)=O,C=1(S[H])C=CC=CC=1,C1(C(NC(C=2C=CC=CC=2)SC=3C=CC=CC=3)=O)=CC=CC=C1,OP1(=O)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cccc(c1)-c1ccc2ccccc2c1)-c1cccc(c1)-c1ccc2ccccc2c1,1.08
C=1(C=CC=CC=1)C=NC(C=2C=CC=CC=2)=O,C1(S[H])CCCCC1,C1(C(SC2CCCCC2)NC(C3=CC=CC=C3)=O)=CC=CC=C1,OP1(=O)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cccc(c1)-c1ccc2ccccc2c1)-c1cccc(c1)-c1ccc2ccccc2c1,0.56
C=1(C=CC=CC=1)C=NC(C=2C=CC=CC=2)=O,C(S[H])C,C1(C(NC(C2=CC=CC=C2)SCC)=O)=CC=CC=C1,OP1(=O)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cccc(c1)-c1ccc2ccccc2c1)-c1cccc(c1)-c1ccc2ccccc2c1,0.59
C=1(C=CC=CC=1)C=NC(C=2C=CC=CC=2)=O,C1(=CC=C(C=C1)S[H])OC,C1(C(NC(C=2C=CC=CC=2)SC=3C=CC(OC)=CC=3)=O)=CC=CC=C1,OP1(=O)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cccc(c1)-c1ccc2ccccc2c1)-c1cccc(c1)-c1ccc2ccccc2c1,1.24
C(C=1C=CC(=CC=1)C=NC(C2=CC=CC=C2)=O)(F)(F)F,C=1(S[H])C=CC=CC=1,C(C=1C=CC(C(SC2=CC=CC=C2)NC(C3=CC=CC=C3)=O)=CC=1)(F)(F)F,OP1(=O)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cccc(c1)-c1ccc2ccccc2c1)-c1cccc(c1)-c1ccc2ccccc2c1,1.37
C(C=1C=CC(=CC=1)C=NC(C2=CC=CC=C2)=O)(F)(F)F,C1(S[H])CCCCC1,C(C1=CC=C(C(NC(C2=CC=CC=C2)=O)SC3CCCCC3)C=C1)(F)(F)F,OP1(=O)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cccc(c1)-c1ccc2ccccc2c1)-c1cccc(c1)-c1ccc2ccccc2c1,0.42
C(C=1C=CC(=CC=1)C=NC(C2=CC=CC=C2)=O)(F)(F)F,C(S[H])C,C(C=1C=CC(C(SCC)NC(C2=CC=CC=C2)=O)=CC=1)(F)(F)F,OP1(=O)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cccc(c1)-c1ccc2ccccc2c1)-c1cccc(c1)-c1ccc2ccccc2c1,0.42
C(C=1C=CC(=CC=1)C=NC(C2=CC=CC=C2)=O)(F)(F)F,C1(=CC=C(C=C1)S[H])OC,C(C1=CC=C(C(NC(C2=CC=CC=C2)=O)SC3=CC=C(C=C3)OC)C=C1)(F)(F)F,OP1(=O)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cccc(c1)-c1ccc2ccccc2c1)-c1cccc(c1)-c1ccc2ccccc2c1,1.37
C1(=CC=C(C=C1)C=NC(C2=CC=CC=C2)=O)OC,C=1(S[H])C=CC=CC=1,C=1(C(SC2=CC=CC=C2)NC(C3=CC=CC=C3)=O)C=CC(=CC=1)OC,OP1(=O)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cccc(c1)-c1ccc2ccccc2c1)-c1cccc(c1)-c1ccc2ccccc2c1,1.3
C1(=CC=C(C=C1)C=NC(C2=CC=CC=C2)=O)OC,C1(S[H])CCCCC1,C1(=CC=C(C(NC(C2=CC=CC=C2)=O)SC3CCCCC3)C=C1)OC,OP1(=O)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cccc(c1)-c1ccc2ccccc2c1)-c1cccc(c1)-c1ccc2ccccc2c1,0.39
C1(=CC=C(C=C1)C=NC(C2=CC=CC=C2)=O)OC,C(S[H])C,C(C1=CC=CC=C1)(NC(C2=CC=C(OC)C=C2)SCC)=O,OP1(=O)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cccc(c1)-c1ccc2ccccc2c1)-c1cccc(c1)-c1ccc2ccccc2c1,0.59
C1(=CC=C(C=C1)C=NC(C2=CC=CC=C2)=O)OC,C1(=CC=C(C=C1)S[H])OC,C1(=CC=C(C(SC2=CC=C(C=C2)OC)NC(C3=CC=CC=C3)=O)C=C1)OC,OP1(=O)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cccc(c1)-c1ccc2ccccc2c1)-c1cccc(c1)-c1ccc2ccccc2c1,1.13
C(C=1C=CC=CC=1)(N=CC=2C3=C(C=CC=2)C=CC=C3)=O,C=1(S[H])C=CC=CC=1,C12=C(C(C(NC(C3=CC=CC=C3)=O)SC4=CC=CC=C4)=CC=C1)C=CC=C2,OP1(=O)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cccc(c1)-c1ccc2ccccc2c1)-c1cccc(c1)-c1ccc2ccccc2c1,1.3
C(C=1C=CC=CC=1)(N=CC=2C3=C(C=CC=2)C=CC=C3)=O,C1(S[H])CCCCC1,C=1(C(NC(C2=CC=CC=C2)=O)SC3CCCCC3)C4=C(C=CC=1)C=CC=C4,OP1(=O)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cccc(c1)-c1ccc2ccccc2c1)-c1cccc(c1)-c1ccc2ccccc2c1,0.45
C(C=1C=CC=CC=1)(N=CC=2C3=C(C=CC=2)C=CC=C3)=O,C(S[H])C,C12=C(C(C(NC(C3=CC=CC=C3)=O)SCC)=CC=C1)C=CC=C2,OP1(=O)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cccc(c1)-c1ccc2ccccc2c1)-c1cccc(c1)-c1ccc2ccccc2c1,0.59
C(C=1C=CC=CC=1)(N=CC=2C3=C(C=CC=2)C=CC=C3)=O,C1(=CC=C(C=C1)S[H])OC,C12=C(C(C(NC(C3=CC=CC=C3)=O)SC4=CC=C(OC)C=C4)=CC=C1)C=CC=C2,OP1(=O)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cccc(c1)-c1ccc2ccccc2c1)-c1cccc(c1)-c1ccc2ccccc2c1,1.18
C=1(C=CC=CC=1)C=NC(C=2C=CC=CC=2)=O,C=1(S[H])C=CC=CC=1,C1(C(NC(C=2C=CC=CC=2)SC=3C=CC=CC=3)=O)=CC=CC=C1,OP1(=O)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1ccc(cc1)-c1cc(cc(c1)C(F)(F)F)C(F)(F)F)-c1ccc(cc1)-c1cc(cc(c1)C(F)(F)F)C(F)(F)F,1.45
C=1(C=CC=CC=1)C=NC(C=2C=CC=CC=2)=O,C1(S[H])CCCCC1,C1(C(SC2CCCCC2)NC(C3=CC=CC=C3)=O)=CC=CC=C1,OP1(=O)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1ccc(cc1)-c1cc(cc(c1)C(F)(F)F)C(F)(F)F)-c1ccc(cc1)-c1cc(cc(c1)C(F)(F)F)C(F)(F)F,0.62
